Nom_de_la_gare;Code_postal;depart;Total_frequentation_2020;Total_frequentation_2019;Total_frequentation_2018;Total_frequentation_2017;Total_frequentation_2016;Total_frequentation_2015
Prades - Molitg-les-Bains;66500;66;4349;2701;2780;5209;4925;4797
Mont-Dore;63240;63;5245;7204;6882;6797;7479;11683
Praye sous Vaudémont;54116;54;863;841;850;1918;2578;2548
Montélimar;26200;26;689825;1116822;1014367;1154902;1127445;1188760
Prouvy - Thiant;59121;59;878;1246;904;1160;834;828
Montfavet;84140;84;13386;24245;23635;23364;20494;21094
Provins;77160;77;374081;683609;696157;710305;709649;708317
Montferrand - Thoraise;25320;25;2317;2778;2320;2582;2479;2296
Puget-Ville;83390;83;14026;17979;16446;18586;16824;15366
Monthermé;08800;8;128766;119657;130891;149631;155687;167681
Puybrun;46130;46;715;1084;753;916;1325;1505
Montlaur;31450;31;2656;3826;2600;3700;3845;3554
Rang-du-Fliers - Verton - Berck;62180;62;221315;345958;299375;323683;305295;321071
Montlouis-sur-Loire;37270;37;14161;20874;19364;20668;21990;21804
Ranguin;06400;6;48598;76307;58424;22586;60102;62154
Mont-Notre-Dame;02220;2;0;1169;1969;3223;5014;6746
Reignac-sur-Indre;37310;37;23223;35201;42591;43920;48974;49890
Montpellier Saint-Roch;34011;34;6699801;10148853;11307349;13758287;12906884;12719479
Reims;51100;51;3356856;5026472;4793596;5218502;4936160;5110555
Montrabé;31850;31;34704;40745;36713;47958;44147;47262
Reims Maison Blanche;51300;51;56436;74693;60440;52332;40332;37825
Montreuil;78000;78;1217688;2226698;2204405;2192249;2137642;2248554
Remy;60190;60;7776;8537;6632;8298;7786;7048
Montreux-Vieux;68210;68;56853;80973;77246;80588;69764;67143
Rennes;35005;35;10770707;16794825;15099483;15046189;13639794;13677597
Montroc le Planet;74660;74;2607;4393;4196;3327;3238;3052
Rezé Pont Rousseau;44400;44;143936;230736;220270;204300;183973;141414
Monts;37260;37;98471;160341;158936;157747;153860;158459
Ribécourt-Dreslincourt;60170;60;109860;118064;114754;124954;121975;127973
Montsoult - Maffliers;95560;95;816410;1492565;1571578;1604400;1579430;1547828
Rive-de-Gier;42800;42;524603;885048;823256;866167;823093;823377
Moosch;68690;68;34358;41079;39646;38416;33327;36129
Rognac;13340;13;193113;277445;256571;286566;278746;300530
Morbier;39400;39;5674;4844;2979;3589;3392;2632
Rolleville;76133;76;162;1279;1263;1980;1795;910
Morez;39400;39;20859;26948;22414;27014;26145;26514
Romanèche-Thorins;71570;71;26448;44326;36632;38947;37297;37227
Morgny-la-Pommeraye;76750;76;19899;23642;21282;26118;28912;33072
Romans - Bourg-de-Péage;26300;26;309871;511182;419880;505920;463002;461185
Morhange;57340;57;67681;95491;85641;94951;88379;92337
Romorantin-Lanthenay;41200;41;96061;119781;95950;87617;85635;91970
Morières-lès-Avignon;84310;84;17394;29589;30776;34923;32980;31540
Rosa Parks;75019;75;4943168;9038087;9029393;9065994;8923180;0
Mortcerf;77163;77;84648;154778;141533;130839;118481;107069
Roscoff;29680;29;6737;15774;28468;42497;31926;30629
Morteau;25500;25;154502;220187;173391;186843;157312;197085
Rosières-en-Santerre;80170;80;101582;138755;129136;139225;148765;156198
Moulins sur Allier;03000;3;581341;912022;846843;932842;885777;943936
Rosny-sous-Bois;93110;93;3231304;5908117;5829896;5754371;5579980;5384161
Moûtiers - Salins - Brides-les-Bains;73600;73;304540;452531;456369;472049;478957;499937
Roumazières-Loubert;16270;16;360;2372;3106;6588;7623;8146
Moyeuvre-Grande;57250;57;21202;33122;27761;27842;26040;28049
Rue;80120;80;103220;131909;123834;139498;131095;140708
Mulhouse;68053;68;4485393;7000488;6651754;6808851;6508448;6601410
Russ Hersbach;67130;67;54688;63451;62414;68659;69828;68740
Mulhouse Zu Rhein;68200;68;0;0;0;0;0;0
Saillagouse;66800;66;2307;1934;1514;1487;1368;1847
Naintré;86530;86;20569;26364;23428;25714;28130;30103
Saillat - Chassenon;87720;87;2102;4624;2657;1644;1632;1865
Nerpuy;86630;86;3618;8067;5377;3317;3850;4050
Saincaize-Meauce;58470;58;1543;519;909;1823;2364;2798
Neufchâtel-Hardelot;62152;62;10591;11140;9837;11945;11256;10990
Saint-Agnan;71160;71;1506;1410;933;1206;966;1128
Neuvic;24190;24;31255;33360;28205;34788;34594;35120
Saint-Amarin;68550;68;42380;51487;56337;63083;59559;62487
Neuville Université;95000;95;1563585;2858861;2781923;2746573;2663428;2580329
Saint-Armel;35230;35;2892;3120;2828;1909;7797;12016
Neuville-sur-Sarthe;72190;72;6595;10593;7929;8107;6604;7769
Saint-Aubin - Saint-Luperce;28300;28;14947;18501;14033;12809;16298;17792
Nieppe;59850;59;53280;77174;84376;87413;85623;80779
Saint-Chély-d'Apcher;48200;48;51956;44600;37726;33932;36039;36898
Nogent-le-Rotrou;28400;28;470592;597009;513795;540269;536371;557850
Saint-Christophe-Vallon;12330;12;3433;5509;5040;6159;6298;7273
Noizay;37210;37;2881;2951;2553;2147;2412;3212
Saint-Cyr-l'École;78210;78;2587492;4730879;4862074;5019441;5088041;5152121
Nomain;59310;59;1100;4336;4315;5098;4732;4678
Saint-Denis;93200;93;17575917;32141497;32855279;33275543;32732352;32140562
Nouzonville;08700;8;20182;22170;22648;30330;37045;39711
Saint-Denis-de-Pile;33910;33;24752;36759;27509;25184;24098;24944
Novéant-sur-Moselle;57680;57;123981;157849;137888;148257;148127;152450
Saint-Dizier;52100;52;149493;251151;228600;269647;273437;288283
Noyelles-sur-Mer;80133;80;60948;78623;67245;73033;69507;69462
Sainte-Cécile-d'Andorge;30110;30;831;1044;982;989;1370;1303
Noyen-sur-Sarthe;72430;72;17647;54586;73388;77124;77008;75983
Sainte-Foy-la-Grande;33220;33;166045;167615;214899;231977;217403;223337
Olette - Canaveilles;66360;66;1991;1774;1005;1177;1266;1134
Sainte-Maure - Noyant;37800;37;64969;100761;97445;91678;90896;97641
Onzain - Chaumont-sur-Loire;41150;41;169716;215927;255449;288300;282984;281944
Saint-Étienne Carnot;42000;42;91813;173576;139258;163249;157854;179366
Orange;84100;84;272784;487935;473212;578352;516774;520170
Saint-Étienne Châteaucreux;42000;42;2220668;4660910;4233914;4514547;4203213;3993621
Orchies;59310;59;899977;1255646;1154080;1195487;1140288;1165755
Saint-Florentin - Vergigny;89600;89;45126;75902;60389;68828;64391;68353
Orgerus - Béhoust;78910;78;122597;223446;223646;225459;223046;219288
Saint-Fons;69190;69;48401;71582;54319;58406;56504;59334
Orgon;13660;13;12057;14277;9489;9723;9611;9142
Saint-Gaudens;31800;31;195363;249104;227394;331067;321603;344047
Ossès - Saint-Martin-d'Arrossa;64780;64;3342;3406;1979;2775;2757;1303
Saint-Georges-de-Commiers;38450;38;1928;2914;2002;2083;1896;8558
Ossun;65380;65;53;198;122;607;510;954
Saint-Germain - Saint-Rémy;27320;27;0;0;44;2;60;476
Ourscamps;60138;60;2220;3655;2950;3494;4321;3527
Saint-Germain-des-Fossés;03260;3;118363;160763;139499;159373;158783;157771
Ozoir-la-Ferrière;77330;77;1317727;2409248;2409568;2429288;2396593;2353072
Saint-Gratien;95210;95;1454020;2658478;2752077;2857361;2909515;2948463
Paimpol;22500;22;52778;66268;59474;52887;42884;50181
Saint-Hilaire - Brizambourg;17500;17;201;376;306;316;519;378
Paris Gare du Nord;75010;75;147114938;272898471;271824491;275962568;268774859;263994241
Saint-Jean-Pied-de-Port;64220;64;25802;62202;50058;54553;53424;39027
Paulhaguet;43230;43;963;1776;1246;1244;1355;2114
Saint-Laurent-du-Var;06700;6;647740;1073273;878414;909624;720728;727159
Pavilly;76570;76;163127;227063;199895;203480;203385;215260
Saint-Laurent-en-Grandvaux;39150;39;14777;15068;12442;17453;16952;16064
Penthièvre;56170;56;833;1097;970;1072;1675;1310
Saint-Léger-sur-Dheune;71510;71;11019;10019;5537;5232;5359;7003
Péreire - Levallois;75017;75;2462813;4503007;4649913;4850376;4948939;5021220
Saint-Léonard;88650;88;1435;4653;10002;12313;11314;11573
Pessac;33600;33;749776;1228140;1037838;984737;877485;931699
Saint-Lothain;39230;39;2787;2811;4255;4490;5279;4154
Petit Jouy - Les Loges;78350;78;100702;184199;184879;187858;186152;183539
Saint-Louis La Chaussée;68300;68;40765;64290;56334;59654;60504;52769
Pierrefitte - Stains;93380;93;5425884;9921222;10088539;9460414;8641481;8580947
Saint-Macaire;33490;33;11572;15852;13681;12037;11496;10543
Pignans;83790;83;17198;23944;19002;21896;20858;18054
Saint-Marcellin;38160;38;432740;691160;595825;667966;589709;598984
Pihen-lès-Guînes;62340;62;429;1316;1461;1554;2547;2366
Saint-Martin du Touch;31000;31;8299;11811;7464;8436;7654;8637
Pins-Justaret;31860;31;110027;156641;174900;225485;236000;251956
Saint-Martin-du-Vivier;76160;76;0;3691;4133;5583;5505;5394
Plancoët;22130;22;8772;11118;11125;16243;18095;18489
Saint-Martory;31360;31;3550;1634;1819;3906;2707;2770
Plénée-Jugon;22640;22;8451;10722;8703;11477;12491;11362
Saint-Mathurin-sur-Loire;49250;49;64069;109370;101784;100274;95842;98549
Plerguer;35540;35;116;613;661;2113;2829;2974
Saint-Maurice-de-Beynost;01700;1;154069;247579;223692;229533;196823;175857
Pleyber-Christ;29410;29;2213;3067;1591;1793;2502;1978
Saint-Médard-sur-Ille;35250;35;32013;38691;33338;43477;43871;46537
Poissy;78300;78;5898598;10787497;10810112;10895097;10764545;10598539
Saint-Michel-sur-Meurthe;88470;88;2379;2892;3095;3562;2897;2591
Pomas;11250;11;642;882;130;324;1138;4264
Saint-Michel-sur-Orge;91240;91;1896118;3466862;3439611;3427512;3345767;3252456
Pont de Bois;59650;59;20486;32391;33493;28859;25071;19530
Saint-Pé-de-Bigorre;65270;65;97;303;345;1608;1484;2371
Pont de l'Alma;75007;75;2258916;4130203;4258429;4384798;4438616;4469086
Saint-Péray;07130;7;1051;1797;3080;1864;1609;1681
Pont de Rungis Aéroport d'Orly;94150;94;374330;684422;724937;770494;800574;831672
Saint-Pierre-d'Albigny;73250;73;100078;153338;134939;154795;144862;150897
Pont Petit;95310;95;164441;300226;328806;295774;274583;253752
Saint-Pierre-de-Chignac;24330;24;117;68;588;393;42;28
Pontchaillou;35033;35;259350;356366;298567;290728;261316;272932
Saint-Pol-de-Léon;29250;29;1173;4775;11471;14305;13486;12652
Pontgouin;28190;28;18168;19123;17267;15576;16746;17423
Saint-Pol-sur-Ternoise;62130;62;105673;216213;207074;241922;266923;286520
Ponthierry - Pringy;77310;77;270808;495137;503026;513571;513654;511417
Saint-Quentin;02100;2;967754;1365654;1353523;1456884;1414802;1449102
Pontrieux Halte;22260;22;2636;3273;3350;4116;4709;4910
Saint-Romain-de-Popey;69490;69;11245;20021;17105;20927;21300;23578
Port-de-Bouc;13110;13;17886;43749;44933;54574;55869;61419
Saint-Romain-le-Puy;42610;42;30689;54396;40735;41196;42367;47757
Port-de-Piles;37000;37;23238;34532;33146;38060;38778;36072
Saint-Savinien;17350;17;10866;22904;14867;16260;14954;14410
Porté-Puymorens;66760;66;1856;2901;2777;2938;2768;2502
Saint-Sulpice - Izon;33450;33;69344;97161;69468;51529;43913;46826
Portet Saint-Simon;31120;31;283928;366445;296556;388162;382069;430877
Saint-Victor-l'Abbaye;76890;76;9271;13221;13998;16633;15750;14370
Portets;33640;33;86776;121322;101476;91047;80217;80757
Saint-Victurnien;87420;87;2816;2588;1825;3233;3407;4026
Port-Saint-Père - Saint-Mars;44710;44;28793;38746;28618;24761;16226;13907
Salbris;41300;41;173861;262216;249709;250790;242053;244166
Précy-sur-Oise;60460;60;42717;75241;77790;77825;74661;78127
Salles-Courbatiès;12260;12;2547;3644;1871;1872;1732;1680
Pringy;74370;74;17871;25219;22265;25311;20143;23469
Sanry-sur-Nied;57530;57;7413;9866;9595;9066;8998;9928
Prissé-la-Charrière;79360;79;5407;6980;8091;6150;5682;5688
Santes;59211;59;29459;48428;46742;50672;49028;50164
Prunay;51360;51;2421;1897;2214;5449;10407;15516
Sarlat-la-Canéda;24200;24;32237;33045;47917;52745;49368;54155
Quesnoy-le-Montant;80132;80;0;96;334;431;919;1658
Saujon;17600;17;29426;52649;43071;55241;59261;63819
Réaumont - Saint-Cassien;38140;38;112982;165107;142715;134722;121859;129615
Saumur;49400;49;574194;902026;809244;881819;865352;882373
Recquignies;59245;59;2692;7083;6514;7499;7502;8064
Sauveterre-la-Lémance;47500;47;826;1405;964;943;764;882
Remiremont;88200;88;212584;340591;303414;329057;313336;333505
Seclin;59113;59;246333;377381;335336;344185;328856;323424
Renescure;59173;59;15567;27002;22340;21080;21329;20960
Selles-Saint-Denis;41300;41;18899;19628;14876;14086;16410;16863
Retournac;43130;43;31151;49984;40933;28972;39124;40724
Sennecey-le-Grand;71240;71;23939;31410;27942;29405;25891;28731
Riedseltz;67120;67;6820;12349;11988;9998;7861;6855
Septèmes-les-Vallons;13240;13;13658;23002;24987;32544;34849;34406
Rilly-la-Montagne;51500;51;68278;63585;64498;75260;69459;69591
Sept-Saulx;51400;51;11372;7067;5180;5836;6022;6499
Ris-Orangis;91130;91;750562;1372333;1456780;1544557;1608103;1668234
Sermaise;91530;91;71836;131344;128659;126376;121816;116851
Rivarennes;37190;37;16259;21814;19409;18529;18089;17120
Serquigny;27470;27;15653;28003;28468;30214;25877;29582
Rochefort;17300;17;377559;616460;500667;552219;490483;517418
Servon-sur-Vilaine;35530;35;113451;154314;130001;119138;122459;134454
Roche-lez-Beaupré;25220;25;4621;7487;6756;7336;6608;6423
Sevran Beaudottes;93270;93;4799861;8776328;8896630;8956744;8886322;8781293
Rodez;12000;12;166618;227285;203362;248179;238967;242820
Sèvres Rive Gauche;92310;92;1142545;2089735;2206397;2355947;2460880;2555121
Roeschwoog;67480;67;43367;58857;53478;54412;54688;56596
Sorgues - Châteauneuf-du-Pape;84700;84;100017;177236;163541;214309;149613;111465
Roissy-en-Brie;77680;77;1807324;3304512;3326124;3354377;3322409;3272883
Tanus;81190;81;2586;2590;1752;1695;1536;1418
Ronchin;59790;59;36744;46032;41638;42290;41056;47404
Tarare;69170;69;436058;672938;596417;666306;625388;634779
Roquesérière - Buzet;31380;31;813;1016;1322;3204;3009;4009
Thann Saint-Jacques;68800;68;201684;191367;190006;201073;196238;199735
Rosny-sur-Seine;78710;78;271321;496083;447201;410431;367325;326923
Theillay;41300;41;10604;13704;12958;15058;19187;20697
Rougemont Chanteloup;93270;93;1048355;1916809;1933062;1935774;1901525;1870285
Thomery;77300;77;110918;202646;185181;170995;153722;138257
Route de Launaguet;31140;31;196;0;0;268;255;29
Thun le Paradis;78250;78;214239;391728;377907;366370;348143;345491
Sablé-sur-Sarthe;72300;72;413375;731047;694643;708439;683573;677921
Tieffenbach - Struth;67290;67;39193;63356;65095;60852;58729;54594
Saint-Agne;31520;31;1015468;1299676;1147507;1383599;1355397;1422512
Tincques;62127;62;13028;15853;15320;18078;17962;17454
Saint-Amand-Longpré;41310;41;3049;5559;4642;5487;3809;3228
Tournus;71700;71;316138;354058;298738;330762;305288;346205
Saint-Blaise-la-Roche Poutay;67420;67;34872;42757;37984;44093;44583;44420
Tracy - Sancerre;58150;58;7910;11580;10480;12679;11329;10927
Saint-Chamas;13250;13;51759;75620;64155;61563;55922;57814
Trie-Château;60590;60;17945;33359;36802;48719;55435;57753
Saint-Chéron;91530;91;353776;646845;635240;629270;610113;588563
Uzerche;19140;19;43161;69918;66798;82453;81930;82141
Saint-Denis-lès-Martel;46600;46;10024;13427;14091;18682;19801;18147
Vaas;72500;72;4154;6237;7417;9387;10269;8153
Sainte-Bazeille;47180;47;668;657;884;2055;2498;3612
Val d'Argenteuil;95100;95;3584796;6554397;6368082;6168065;5880591;5693475
Sainte-Eulalie - Carbon-Blanc;33560;33;23631;32005;21773;17244;12564;11962
Valençay;36600;36;15310;17372;17864;18854;19882;19380
Sainte-Léocadie;66800;66;89;92;146;33;86;150
Valence TGV Rhône-Alpes Sud;26958;26;2279938;3819810;3853604;4213228;3900512;3845327
Sainte-Lizaigne;36260;36;884;1635;1554;1785;2411;2626
Valenciennes;59300;59;2542811;4151148;3851104;4056110;3836994;3965073
Saint-Émilion;33330;33;43398;82269;89643;80917;58029;52982
Vallon-en-Sully;03190;3;21357;26669;28753;32852;31586;35921
Saint-Étienne-de-Montluc;44360;44;71554;105555;83765;86526;97082;97388
Valmondois;95430;95;566468;1035712;976799;942389;924968;907771
Saint-Étienne-du-Rouvray;76800;76;18352;33652;25943;25475;23572;25593
Vaucresson;92420;92;976268;1785206;1752992;1731887;1676989;1601731
Saint-Fargeau-Ponthierry;77310;77;66064;120792;119266;118313;115100;111544
Vaux-sur-Seine;78740;78;156492;286181;317047;353446;385904;371139
Saint-Geniès-de-Malgoirès;30190;30;46537;93907;80170;75110;68582;66781
Veauche - Saint-Galmier;42340;42;68532;114980;98438;120129;124895;141771
Saint-Germain-du-Puy;18390;18;2890;6063;6800;7902;8079;9138
Véretz - Montlouis;37270;37;17619;28212;27456;25284;26306;24904
Saint-Germain-sur-Ille;35250;35;41260;53527;45270;40523;41635;41942
Verneuil-l'Étang;77390;77;365189;667781;658852;656054;638495;621339
Saint-Gervais-les-Bains Le Fayet;74170;74;349141;445024;433047;485888;483364;486994
Verneuil-sur-Serre;02000;2;3813;3396;4330;4334;3070;5774
Saint-Hilaire - Saint-Nazaire;38330;38;43997;73432;60475;73427;64778;57959
Verneuil-sur-Vienne;87430;87;1;0;0;1;10;84
Saint-Jean-d'Angély;17400;17;27563;39979;35005;41399;48960;51363
Vernon - Giverny;27200;27;1311752;2297009;2113097;2302467;2164533;2177390
Saint-Jean-de-Maurienne Arvan;73300;73;281525;374726;353312;397194;384365;396826
Vernouillet - Verneuil;78480;78;1449814;2651189;2666461;2684922;2656414;2613809
Saint-Julien-du-Sault;89330;89;21843;29000;26061;28506;24853;25646
Vernou-la-Celle-sur-Seine;77670;77;29656;54224;55009;55764;55725;55281
